'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.755406,1.57717,1.18868,1.21631
0.757579,1.61895,1.18887,1.27329
0.72542,1.62646,1.2253,1.27376
0.738535,1.64793,1.20596,1.30861
0.721971,1.62932,1.21551,1.31674
0.7171,1.58581,1.2389,1.32033
0.720706,1.57503,1.22478,1.32692
0.710782,1.59557,1.28238,1.30496
0.710782,1.59557,1.28238,1.30496
0.728208,1.57958,1.22819,1.29287
0.767125,1.58997,1.23342,1.14849
0.745067,1.51109,1.21284,1.14934
0.762852,1.47283,1.14292,1.14384
0.802456,1.42589,1.06176,1.18028
0.77647,1.43201,1.0757,1.17447
0.798623,1.48729,1.09506,1.12048
0.782486,1.4256,1.10691,1.14433
0.792125,1.44341,1.14661,1.13109
0.747685,1.4281,1.09981,1.15156
0.75515,1.45966,1.06151,1.24103
0.793212,1.52981,1.08091,1.20136
0.77249,1.42581,1.07343,1.22162
0.776271,1.4284,1.07412,1.22496
0.763218,1.54069,1.09083,1.22477
0.778935,1.59025,1.09978,1.21617
0.768049,1.53243,1.10726,1.18769
0.753417,1.50774,1.08703,1.20039
0.740712,1.52867,1.17279,1.25436
0.720601,1.53233,1.15206,1.2234
0.720601,1.53233,1.15206,1.2234
0.734318,1.54515,1.23478,1.13454
0.752461,1.59026,1.23145,1.14529
0.736006,1.64417,1.30963,1.13514
